lfdn;age;sex;v_3;education;relation;kldb;e1;a1r;c1;n1;o1;e2r;a2;c2r;n2r;o2;e3;a3r;c3;n3;o3;e4;a4;c4r;n4;o4;e5r;a5;c5r;n5r;o5;e6;a6r;c6;n6;o6;e7r;a7;c7;n7r;o7r;e8;a8r;c8;n8;o8;o9r;a9;c9r;o10;status;charisma;classes;a1;e2;c2;n2;a3;c4;e5;c5;n5;a6;e7;n7;o7;a8;o9;c9;extr_mean;open_mean;con_mean;agree_mean;neuro_mean
1;25;2;-99;3;7;7;5;3;4;1;4;4;5;4;4;5;4;3;5;4;2;4;2;2;5;4;1;5;4;1;4;4;5;2;4;1;3;4;4;2;1;5;2;2;4;3;1;4;4;1;1;-77;1;3;2;2;2;3;4;5;2;5;1;3;4;5;4;5;2;4;3,4;3;3,44444444444444;3,625
2;30;2;-99;4;1;9;4;2;5;3;1;4;5;2;4;5;4;1;5;4;5;4;5;3;4;3;2;1;2;3;2;3;2;4;2;4;2;4;3;4;2;4;2;3;4;5;4;4;4;4;1;10;3;4;2;4;2;5;3;4;4;3;4;4;2;4;4;2;2;3,625;3,5;3,66666666666667;4;3
3;23;2;-99;4;7;0;4;3;4;4;4;4;4;4;2;5;4;4;5;4;4;4;4;2;4;4;2;3;2;2;4;4;4;4;3;4;4;5;4;3;2;4;3;2;4;4;2;5;4;3;2;-77;-77;3;2;2;4;2;4;4;4;4;2;2;3;4;3;4;2;3,5;4;3,44444444444444;3,44444444444444;3,75
4;23;1;-99;4;1;4;5;1;4;1;3;2;5;4;3;5;5;4;4;4;5;5;5;5;4;5;4;5;4;5;5;5;1;3;4;5;5;5;5;4;1;4;4;4;1;5;5;3;5;5;2;13;3;5;4;2;3;2;1;2;2;1;5;1;2;5;2;1;1;3,875;4,4;2,88888888888889;4,11111111111111;2,5
5;22;2;-99;4;7;7;3;2;5;1;4;4;5;1;2;4;3;2;5;4;3;3;5;2;4;3;4;4;2;3;3;3;1;4;3;3;5;4;4;2;3;2;1;4;4;3;3;3;3;3;2;-77;-77;4;2;5;4;4;4;2;4;3;5;1;4;3;5;3;3;2,375;3,2;4,22222222222222;4,33333333333333;3,375
6;26;1;-99;4;1;4;5;3;3;4;4;4;5;4;3;5;3;4;4;5;5;3;5;3;5;5;1;3;4;4;4;4;4;3;5;3;2;5;4;2;3;5;4;4;4;5;4;4;2;4;2;-77;-77;3;2;2;3;2;3;5;2;2;2;4;4;3;2;2;4;3,875;4;3,22222222222222;3,44444444444444;4
7;35;2;-99;4;7;6;2;2;3;1;5;4;2;4;5;5;4;2;4;3;5;4;2;1;1;5;4;4;3;3;4;3;4;4;1;5;2;1;4;4;2;3;2;4;1;5;5;2;4;5;1;14;1;4;2;2;1;4;5;2;3;3;2;4;2;4;4;1;2;3;4,4;3,44444444444444;2,77777777777778;1,625
8;33;3;-99;3;1;4;5;4;5;4;4;2;3;4;4;5;3;4;5;4;4;4;4;5;4;3;1;3;2;3;4;4;2;3;2;3;2;3;5;4;1;4;4;3;1;4;2;4;1;5;1;14;5;2;4;2;2;2;1;5;4;3;4;4;2;5;2;4;5;4,125;4,1;3,66666666666667;3;2,75
9;29;2;-99;2;2;6;3;2;3;4;5;3;3;4;3;5;3;1;3;4;3;4;4;4;5;5;3;3;4;1;4;1;2;2;5;5;4;3;2;3;3;3;3;2;4;5;5;3;4;4;1;15;2;4;3;2;3;5;2;3;2;5;4;2;3;3;3;1;2;2,75;4;2,22222222222222;3,55555555555556;4,125
10;36;1;-99;5;3;8;5;1;5;1;5;2;5;4;4;5;3;2;4;3;5;4;5;3;4;5;3;4;4;5;4;3;3;4;4;2;4;5;5;5;4;3;1;4;3;4;2;4;4;4;1;6;5;5;4;2;2;4;3;3;2;1;3;2;1;2;5;4;2;3,375;4;3,44444444444444;4,44444444444444;2,375
11;32;2;-99;4;7;4;3;2;4;3;4;3;5;3;3;4;2;4;5;3;4;3;3;1;4;5;3;2;5;1;4;3;2;4;5;2;3;4;5;2;4;2;4;3;2;5;4;4;3;4;1;9;1;4;3;3;3;2;5;3;1;5;4;3;4;2;2;2;3;2,75;3,6;3,66666666666667;3,33333333333333;3,625
12;30;1;-99;4;2;9;2;0;2;3;5;4;5;2;1;5;3;2;2;4;5;4;4;4;4;5;2;2;2;4;4;3;2;2;4;4;4;5;3;2;3;1;4;3;4;5;2;3;4;5;1;10;1; ;2;4;5;4;2;4;4;2;4;2;4;3;2;4;2;2,625;4,5;2,66666666666667;3,625;3,75
13;55;2;-99;3;1;7;4;3;5;4;2;2;5;4;4;5;4;2;5;4;2;3;5;1;1;1;2;5;4;4;1;5;1;4;5;1;2;4;5;2;5;2;4;2;4;2;1;5;4;1;2;-77;-77;3;4;2;2;4;5;4;2;2;5;4;4;1;2;5;2;3,75;2,1;3,55555555555556;4,22222222222222;3,25
15;34;2;-99;6;7;4;4;4;5;2;4;1;5;2;3;5;4;4;5;4;5;4;3;1;4;3;2;2;1;2;3;4;1;5;4;4;5;4;4;2;2;3;4;5;4;4;1;4;1;4;1;13;5;2;5;4;3;2;5;4;5;4;5;1;4;4;2;5;5;3,625;4,1;4,77777777777778;3,22222222222222;3,625
14;32;1;-99;2;1;4;4;4;2;5;4;4;5;3;4;5;2;4;2;4;5;2;4;5;5;5;2;4;5;2;4;4;2;2;4;4;3;4;2;4;3;3;4;2;3;4;4;5;5;3;2;-77;-77;2;2;3;2;2;1;4;1;4;4;3;2;3;2;2;1;3;3,9;1,77777777777778;3,55555555555556;3,625
18;27;1;-99;5;7;4;4;5;4;4;2;4;3;4;1;4;2;2;4;4;1;2;5;3;5;2;4;1;4;1;3;5;4;2;4;2;4;5;4;1;5;4;5;2;5;2;5;4;5;1;1;20;2;1;2;2;5;4;3;2;2;5;2;2;5;1;1;1;1;2,875;1,9;2,66666666666667;2,88888888888889;4,625
20;35;1;-99;4;2;9;4;5;3;1;2;4;5;4;4;5;4;1;5;2;4;4;3;3;4;4;3;2;4;5;2;4;5;5;2;3;4;5;4;4;1;5;1;3;2;5;4;4;3;2;1;14;6;1;2;2;2;5;3;3;2;1;1;2;2;5;5;2;3;3,5;3,4;3,33333333333333;3,44444444444444;2
21;23;1;-99;2;7;0;4;2;3;1;5;1;5;4;5;5;3;2;4;2;4;3;5;5;2;5;2;5;5;4;4;3;1;3;3;4;2;5;3;5;2;5;2;4;3;5;4;5;5;5;2;-77;-77;4;5;2;1;4;1;4;1;2;5;4;1;4;4;2;1;3,875;4,3;2,44444444444444;4,66666666666667;1,875
