unique_id,age,gender,bfi_a2,bfi_a4,bfi_a5,bfi_a7,bfi_a9,bfi_c1,bfi_c3,bfi_c6,bfi_c7,bfi_c8,bfi_e1,bfi_e3,bfi_e4,bfi_e6,bfi_e8,bfi_n1,bfi_n3,bfi_n4,bfi_n6,bfi_n8,bfi_o1,bfi_o10,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o8,bfi_a1_reversed,bfi_a3_reversed,bfi_a6_reversed,bfi_a8_reversed,bfi_c2_reversed,bfi_c4_reversed,bfi_c5_reversed,bfi_c9_reversed,bfi_e2_reversed,bfi_e5_reversed,bfi_e7_reversed,bfi_n2_reversed,bfi_n5_reversed,bfi_n7_reversed,bfi_o7_reversed,bfi_o9_reversed,mean_bfi_a,mean_bfi_c,mean_bfi_e,mean_bfi_n,mean_bfi_o,exclusions_impossible_scores_bfi,exclusions_incomplete_bfi_a,exclusions_incomplete_bfi_c,exclusions_incomplete_bfi_e,exclusions_incomplete_bfi_n,exclusions_incomplete_bfi_o,Trial_reaction_time_in_ms,mean1,mean2,SD,iat_greenwald_d_score,n,proportion_fast_trials_iat,proportion_incorrect_trials,exclusions_iat_trial_number,exclusions_iat_performance,exclusions_iat_accuracy,master_exclusion
440109,46,female,NA,NA,NA,NA,NA,6,6,5,5,5,2,2,4,4,3,3,6,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,5,2,2,2,4,3,2,NA,NA,NA,4.777777777777778,2.625,3.875,NA,include,include,include,include,include,include,710.0333333333334,797,666.55,326.25872430032103,-0.3998360512190346,120,0,0.025,include,include,include,include
355243,27,male,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,6,4,5,5,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4.222222222222222,NA,NA,NA,4.4,include,include,include,include,include,include,936.1583333333335,1017.6,895.4375,355.7216359499561,-0.3434216186309966,120,0,0.008333333333333333,include,include,include,include
214625,20,female,4,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,6,4,4,4,2,4,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4.333333333333333,NA,NA,NA,4.2,include,include,include,include,include,include,664.65,708.475,642.7375,172.67040785235656,-0.3807108630693079,120,0,0.041666666666666664,include,include,include,include
214148,20,male,4,4,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,6,4,4,4,4,4,1,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3.5555555555555554,NA,NA,NA,3.8,include,include,include,include,include,include,756.3083333333333,736.45,766.2375,255.9658523651755,0.11637294476883331,120,0,0.11666666666666667,include,include,include,include
213400,29,female,4,3,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,5,2,3,4,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,NA,NA,NA,3,include,include,include,include,include,include,847.1333333333334,926.475,807.4625000000001,465.05895412552263,-0.255908415361631,120,0,0.11666666666666667,include,include,include,include
216503,33,female,5,2,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,5,5,4,5,6,4,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3.3333333333333335,NA,NA,NA,4.8,include,include,include,include,include,include,1275.8833333333334,1014.9249999999998,1406.3625,1845.6137153463362,0.2120906973898086,120,0,0.19166666666666668,include,include,include,include
369479,28,female,NA,NA,NA,NA,NA,5,5,6,4,6,6,4,5,5,6,2,4,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,3,4,5,4,2,3,1,NA,NA,NA,4.222222222222222,4.875,3,NA,include,include,include,include,include,include,662.05,697.425,644.3625,342.6588535496585,-0.15485518453796532,120,0,0.03333333333333333,include,include,include,include
220525,33,female,NA,NA,NA,NA,NA,6,5,6,6,6,6,3,5,6,5,4,5,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,3,3,3,1,5,4,4,NA,NA,NA,5,4,4.25,NA,include,include,include,include,include,include,633.225,610.825,644.425,195.22219456839645,0.17211157816499234,120,0,0.016666666666666666,include,include,include,include
225948,23,male,5,3,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,5,5,6,6,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,3.5555555555555554,NA,NA,NA,5.3,include,include,include,include,include,include,791.5666666666667,905.15,734.775,329.8252334098129,-0.5165614475236541,120,0,0.016666666666666666,include,include,include,include
227399,16,male,3,3,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,5,3,2,4,5,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2.3333333333333335,NA,NA,NA,3.9,include,include,include,include,include,include,739.35,718.5,749.775,308.7734381945018,0.10128785747529004,120,0,0.058333333333333334,include,include,include,include
